text,label
Consulting a licensed healthcare professional ensures safe and accurate diagnosis before initiating any drug treatment,1
Pioglitazone Hydrochloride Tablets IP 30 mg - Failure noted: Dissolution,0
Eating raw garlic on empty stomach cures high blood pressure permanently,0
"Iron and Folic Acid Tablets I.P. - Failure noted: Description, Assay and Uniformity of Content of Folic Acid",0
Statins are clinically proven medications used to lower blood cholesterol levels and reduce cardiovascular risks,1
Lycopene with Vitamins and Minerals Syrup (CARORICH Syrup) - Failure noted: Assay of Vitamin E Acetate.,0
Amlodipine 5 mg and Telmisartan 40 mg Tablets IP (Telma-AM ) - Failure noted: Dissolution of Telmisartan,0
Breathing exercises alone can replace insulin injections for severe diabetes,0
Regular dental hygiene including brushing and flossing prevents plaque accumulation and periodontal disease,1
Progesterone Soft Gelatin Capsules 100 mg LUPIGEST-100 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Metformin is a commonly prescribed medication for type 2 diabetes management,1
VASOCON 1 ml (Adrenaline Bitartrate Injection I.P.) - Failure noted: Description and Particulate Matter,0
Charcoal teeth whitening powders permanently remove enamel stains safely overnight,0
Antihistamines are commonly used to relieve symptoms of allergic rhinitis and seasonal allergies,1
Fexofenadine Hydrochloride Tablet IP 120mg10mg/ ALLEGRA M - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Montelukast Desloratidine Tablets DESKAST - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Glimepiride Tablets 1 mg GLADOR 1 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Drinking turmeric water every morning cures all types of cancer permanently,0
Metformin and sitagliptin Tablet IP 500mg/50mg JANUMET - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Fexofenadine Hydrochloride Tablet IP 180mg ALLEGRA - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
"Aceclofenac, Paracetamol and Thiocolchicoside Tablets (ELFEN- TH4 TABLETS) - Failure noted: Assay of Aceclofenac and Thiocolchicoside",0
Telmirid-40 (Telmisartan Tablets I.P. 40 mg) - Failure noted: Dissolution,0
"The Central Drugs Standard Control Organization (CDSCO) regulates pharmaceutical imports, approvals, and clinical trials in India",1
"Diphenhydramine HCI, Ammonium- Chloride and Sodium Citrate Cough Expectorant - Failure noted: Assay of Menthol",0
Screening tests like mammograms and pap smears aid in the early detection of specific cancers,1
Essential oils applied topically can completely eradicate thyroid disorders,0
Paracetamol reduces fever and mild to moderate pain when taken as prescribed,1
Fexofenadine hydrochloride suspension Fexy suspension 30mg/5ml - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
"ODIMONT-AL (Montelukast, Levocetirizine HCI & Ambroxol HCI (SR) Tablets) - Failure noted: Assay and Dissolution of Montelukast",0
Levetiracetam Tablets IP LEVIPIL 250 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Insulin therapy is essential for managing type 1 diabetes mellitus under medical supervision,1
Lactuedge (Lactulose Solution USP) - Failure noted: Assay and Organic Impurities,0
A balanced diet rich in fruits and vegetables supports overall health,1
Levofloxacin Tablets I.P 250 mg L-CIN 250 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
(DUCOLAX) Bisacodyl Tablet I.P. 5 mg - Failure noted: Assay and Dissolution,0
Voglibose Tab ets IP VOLIBO 0.2 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Hypertension is managed through a combination of prescribed antihypertensive drugs and lifestyle modifications,1
"Rivastigmine Tartarate - Failure noted: Identification, Assay & Water",0
Doxofylline (SR) and Montelukast Tablets DOXIFLO-M - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Magnetic rings worn on the wrist can eliminate joint pain and arthritis,0
Vaccination schedules established by health authorities protect populations against preventable infectious diseases,1
Folic acid supplementation during pregnancy helps prevent neural tube defects in newborns,1
"Vitamin C, Vitamin B12, Folic Acid and Nicotinamide Injection (Eldervit -12 Injection) - Failure noted: Assay of Folic Acid",0
Amoxicillin is a broad-spectrum penicillin antibiotic used to treat bacterial infections such as pneumonia and bronchitis,1
Salmeterol and fluticasone Propionate powder for Inhalation I.P ESIFLO 250 30 Capsules - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Calcium & Vitamin D3 Tablets I.P. - Failure noted: Assay of Vitamin D3,0
Homeopathy medicine removes kidney stones without any surgery,0
Ketorolac Tromethamine Dispersible Tablets 10 mg KETOROL DT - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
"Vitamin C, Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12) - Failure noted: Identification and Assay of Folic Acid.",0
Inhaled corticosteroids are standard maintenance therapies for controlling inflammation in asthma patients,1
Gabon-300 Tablets (Gabapentin Tablets I.P.) - Failure noted: Related Substances,0
Generic drugs contain the same active pharmaceutical ingredients and meet the same quality standards as brand-name drugs,1
Regular exercise for 30 minutes daily helps maintain healthy blood pressure,1
"Vitamin C Injection IP and Vitamin B12, Folic Acid and Niacinamide Injection (Eldervit-12) - Failure noted: Assay of Folic Acid.",0
Proper storage of medications away from heat and moisture ensures their chemical stability and efficacy,1
Ranolazine Extended- Release Tablets RANOZEX - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Drinking cow urine daily boosts immunity and prevents all diseases,0
Completed immunizations are vital for achieving community herd immunity against viral and bacterial pathogens,1
"Vitamin C Injection IP and Vitamin B12, Folic Acid and Nicotinamide Injection Eldervit12 Injection - Failure noted: Particulate matter",0
"Nirmatrelvir Tablets 150 mg and Ritonavir Tablets IP 100 mg Combipack (Primovir Tablets) - Failure noted: Uniformity of weight, Identification and Assay of Nirmatrelvir.",0
Calcium & Vitamin D3 Tablets I. P. - Failure noted: Identification and Assay of Vitamin D3,0
Aspirin acts as an antiplatelet agent that can help prevent blood clots when prescribed for heart conditions,1
Hand washing with soap for 20 seconds reduces risk of infection significantly,1
Fomoterol Fumarate and Budesonide Powder for Inhalation I.P Budamate Forte - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Vildagliptin Tablets IP 50 mg JALRA 50 MG - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Alkaline water neutralizes body acidity and reverses chronic illnesses,0
Raw juice fasting for three days detoxifies the liver and cures hepatitis,0
Calcium & Vitamin D3 Tablets I. P. (Calcidoc-500) - Failure noted: Assay of Vitamin D3,0
Mixing honey and cinnamon cures arthritis and joint pain forever,0
Vitamin C supplements support immune function but do not cure colds,1
Iron supplements are prescribed to treat iron deficiency anemia and improve hemoglobin levels,1
Losartan Tablets IP LOSAR-25 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Applying coconut oil cures all types of skin infections and fungus,0
Voglibose Tablets IP 0.2mg - Failure noted: Test for Assay,0
Rosuvastatin Tablets IP 10 mg ROSUVAS 10 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Levocetirizine Dihydrochloride & Montelukast Sodium Syrup TELEKAST-L Kid syrup - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
"Ritonavir - Failure noted: Specific Optical Rotation, Water Content, Related Substances, Identification, Assay",0
"Rolled Bandage (Non Sterilized, Size 15cm x 4 mts.) - Failure noted: Threads per dm (Warp & Weft), Weight in gm per m2 & Fluorescence",0
"Amoxycillin, Cloxacillin & Lactic Acid Bacillus Capsules Amoxynol Plus LB - Failure noted: Assay of Cloxacillin",0
Domperidone Tablets I.P. 10 mg - Failure noted: Related Substances,0
Ascorbic Acid Tablets IP 500mg - Failure noted: Description,0
APVIL (Pheniramine Maleate Tablets I.P.) - Failure noted: Assay of Pheniramine Maleate,0
Budesonide Inhalation IP Budate 200 Transhaler With dose Indicator 200 Metered dose - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Albendazole Tablets IP - Failure noted: Dissolution,0
Salmeterol and fluticasone Propionate Inhalation I.P ESIFLO 125 Trans inhaler With Dose Indicator 120 Metered dose - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Sufficient daily water intake is necessary for maintaining optimal cellular function and metabolic processes,1
Meswak (Toothpaste for complete Tooth and Gum Care) - Failure noted: Total Bacterial Count and Test for Pathogens,0
Gabapentin Tablets I.P. - Failure noted: Related Substances,0
Telmisartan Tablets IP 40 mg - Failure noted: Dissolution & Description,0
Glimepiride Tablets IP AMARYL 2MG - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
ALGLIMET M1 (Glimepiride 1 mg & Metformin 500 mg Tablets SR) - Failure noted: Assay and Dissolution of Glimepiride,0
BACLOX-400 (Norfloxacin Tablets IP) - Failure noted: Dissolution,0
The Indian Council of Medical Research (ICMR) formulates national health guidelines and conducts biomedical research,1
Betahistidine Tablets IP Vertin 16 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
MEROXIA Nano Injection 1 gm (Meropenem Injection I.P.) - Failure noted: Assay of Meropenem & Content of Sodium,0
Hydrocort -100 (Hydrocortisone Sodium Succinate Injection I.P. 100 mg) - Failure noted: Clarity of Solution,0
Vildagliptin and Metformin Hydrochloride Tablets IP 50mg/500mg JALRA-M - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Topical antifungal creams effectively treat localized skin infections like ringworm and athlete's foot,1
Regular monitoring of blood glucose levels helps patients with diabetes maintain glycemic control,1
Tricagrelor Tablets 90 mg IP BRILINTA - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Neem leaves can completely cure diabetes in just 7 days without medicine,0
DACILON 0.5 (Dactinomycin for Injection USP 0.5 mg) - Failure noted: Appearance & Assay,0
WHO recommends vaccines as one of the most effective disease prevention tools,1
Giloy juice destroys coronavirus instantly when consumed daily,0
Oral rehydration salts (ORS) effectively manage dehydration caused by acute diarrhea,1
Metformin and Sitagliptin Tablet BP 500mg/50mg JANUMET - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Losartan Potassium and Hydrochlorothiazide Tablets I.P 50MG+12.5MG LOSAR-H - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
ALCIFLOX 500 (Ciprofloxacin Tablets I.P.) - Failure noted: Dissolution,0
Progesterone Sustained Release Tablest 200 mg LUPIGEST SR200 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Metronidazole Tablets IP 400 mg - Failure noted: Dissolution.,0
O2 (Ofloxacin & Ornidazole Tablets I.P.) - Failure noted: Identification and Assay of Ofloxacin & Ornidazole,0
CIPROFLOXACIN HYDROCHLORIDE TABLETS I.P. 500 mg - Failure noted: Dissolution,0
Benzonatate Capsules USP BENZOPEARLS - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Antibiotics should be taken for the full prescribed course to prevent resistance,1
Vitamin B Complex Tablets - Failure noted: Description and Assay of Thiamine Hydrochloride,0
Pre and Probiotic Capsules - Failure noted: Identification and Assay of Streptococcus faecalis,0
Rosuvastatin Tablets IP 40 mg ROSUVAS 40 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
Colloidal silver safely treats all viral infections without side effects,0
Ramipril Tablets IP CARDACE 5 - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
"Absorbent Cotton Wool I.P. - Failure noted: Surface Active Substances, Sinking Time & Sulphated ash",0
Metformin and Sitagliptin Tablet BP 1000mg/50mg JANUMET - Notice: Seized as per court order vide no. Cr.M.P.No. 2355/2025 dt. 27.11.2025.,0
